# VRB Preisstufenmatrix, official PDF printed 'Stand 01.01.2022', 48 zones, directional cells.
# Source: https://www.vrb-online.de/de/service/downloads?file=files/media/service/downloads/tarifinformationen/vrb-preisstufenmatrix.pdf&cid=658
# Source PDF SHA-256: 175c58b14f2c9e94029644fa7a8a0a036af8fa438c5cb6bc4145409b99efa7e6 (publisher Verkehrsverbund Region Braunschweig GmbH).
# Parsed on the parked branch codex/regional-pt-fares by scripts/export_vrb_price_stage_matrix.py (commit 238359cd).
# ASSUMPTION (ADR-0133): the 2022 matrix is applied to the 2026 scenario; VRB still publishes 48 zones in 2026 and
# three current-selector spot checks (40-70 = 2, 40-20 = 3, 40-40 = ST) agreed on 2026-09-23. price_stage: ST = city tariff,
# 1..4 = Preisstufe, '-' = undefined in the source (status undefined). Zones 55/56 = Haemelerwald/Dedenhausen stations.
origin_zone,destination_zone,price_stage,status
40,88,4,defined
40,89,4,defined
40,90,4,defined
50,10,4,defined
50,11,4,defined
50,12,4,defined
50,13,4,defined
50,14,4,defined
50,15,4,defined
50,16,3,defined
50,17,3,defined
50,20,4,defined
50,30,4,defined
50,31,4,defined
50,32,4,defined
50,33,4,defined
50,34,4,defined
50,35,4,defined
50,36,4,defined
50,37,4,defined
50,38,4,defined
50,40,3,defined
50,50,1,defined
50,51,2,defined
50,52,2,defined
50,53,2,defined
50,54,2,defined
50,55,2,defined
50,56,3,defined
50,60,3,defined
50,70,4,defined
50,71,4,defined
50,72,4,defined
50,73,4,defined
50,74,4,defined
50,75,4,defined
50,76,4,defined
50,77,4,defined
50,78,4,defined
50,79,4,defined
50,80,4,defined
50,81,4,defined
50,82,4,defined
50,83,4,defined
50,84,4,defined
50,85,4,defined
50,86,4,defined
50,87,4,defined
50,88,4,defined
50,89,4,defined
50,90,4,defined
51,10,3,defined
51,11,4,defined
51,12,4,defined
51,13,4,defined
51,14,4,defined
51,15,4,defined
51,16,2,defined
51,17,2,defined
51,20,3,defined
51,30,4,defined
51,31,4,defined
51,32,4,defined
51,33,4,defined
51,34,4,defined
51,35,4,defined
51,36,3,defined
51,37,4,defined
51,38,4,defined
51,40,3,defined
51,50,2,defined
51,51,1,defined
51,52,2,defined
51,53,3,defined
51,54,3,defined
51,55,3,defined
51,56,2,defined
51,60,4,defined
51,70,4,defined
51,71,4,defined
51,72,4,defined
51,73,4,defined
51,74,4,defined
51,75,4,defined
51,76,4,defined
51,77,4,defined
51,78,4,defined
51,79,4,defined
51,80,4,defined
51,81,4,defined
51,82,4,defined
51,83,4,defined
51,84,4,defined
51,85,4,defined
51,86,4,defined
51,87,4,defined
51,88,4,defined
51,89,4,defined
51,90,4,defined
52,10,3,defined
52,11,4,defined
52,12,4,defined
52,13,4,defined
52,14,4,defined
52,15,4,defined
52,16,2,defined
52,17,3,defined
52,20,3,defined
52,30,4,defined
52,31,4,defined
52,32,4,defined
52,33,4,defined
52,34,4,defined
52,35,4,defined
52,36,3,defined
52,37,4,defined
52,38,4,defined
52,40,2,defined
52,50,2,defined
52,51,2,defined
52,52,1,defined
52,53,2,defined
52,54,3,defined
52,55,3,defined
52,56,3,defined
52,60,3,defined
52,70,3,defined
52,71,3,defined
52,72,3,defined
52,73,4,defined
52,74,4,defined
52,75,4,defined
52,76,4,defined
52,77,4,defined
52,78,4,defined
52,79,4,defined
52,80,4,defined
52,81,4,defined
52,82,4,defined
52,83,4,defined
52,84,4,defined
52,85,4,defined
52,86,4,defined
52,87,4,defined
52,88,4,defined
52,89,4,defined
52,90,4,defined
53,10,4,defined
53,11,4,defined
53,12,4,defined
53,13,4,defined
53,14,4,defined
53,15,4,defined
53,16,3,defined
53,17,4,defined
53,20,4,defined
53,30,4,defined
53,31,4,defined
53,32,4,defined
53,33,4,defined
53,34,4,defined
53,35,4,defined
53,36,3,defined
53,37,4,defined
53,38,4,defined
53,40,2,defined
53,50,2,defined
53,51,3,defined
53,52,2,defined
53,53,1,defined
53,54,3,defined
53,55,3,defined
53,56,4,defined
53,60,2,defined
53,70,3,defined
53,71,3,defined
53,72,3,defined
53,73,4,defined
53,74,4,defined
53,75,4,defined
53,76,4,defined
53,77,3,defined
53,78,3,defined
53,79,3,defined
53,80,4,defined
53,81,4,defined
53,82,3,defined
53,83,3,defined
53,84,4,defined
53,85,4,defined
53,86,4,defined
53,87,4,defined
53,88,4,defined
53,89,4,defined
53,90,4,defined
54,10,4,defined
54,11,4,defined
54,12,4,defined
54,13,4,defined
54,14,4,defined
54,15,4,defined
54,16,4,defined
54,17,4,defined
54,20,4,defined
54,30,4,defined
54,31,4,defined
54,32,4,defined
54,33,4,defined
54,34,4,defined
54,35,4,defined
54,36,4,defined
54,37,4,defined
54,38,4,defined
54,40,4,defined
54,50,2,defined
54,51,3,defined
54,52,3,defined
54,53,3,defined
54,54,1,defined
54,55,2,defined
54,56,4,defined
54,60,4,defined
54,70,4,defined
54,71,4,defined
54,72,4,defined
54,73,4,defined
54,74,4,defined
54,75,4,defined
54,76,4,defined
54,77,4,defined
54,78,4,defined
54,79,4,defined
54,80,4,defined
54,81,4,defined
54,82,4,defined
54,83,4,defined
54,84,4,defined
54,85,4,defined
54,86,4,defined
54,87,4,defined
54,88,4,defined
54,89,4,defined
54,90,4,defined
55,10,4,defined
55,11,4,defined
55,12,4,defined
55,13,4,defined
55,14,4,defined
55,15,4,defined
55,16,4,defined
55,17,4,defined
55,20,4,defined
55,30,4,defined
55,31,4,defined
55,32,4,defined
55,33,4,defined
55,34,4,defined
55,35,4,defined
55,36,4,defined
55,37,4,defined
55,38,4,defined
55,40,4,defined
55,50,2,defined
55,51,3,defined
55,52,3,defined
55,53,3,defined
55,54,2,defined
55,55,-,undefined
55,56,4,defined
55,60,4,defined
55,70,4,defined
55,71,4,defined
55,72,4,defined
55,73,4,defined
55,74,4,defined
55,75,4,defined
55,76,4,defined
55,77,4,defined
55,78,4,defined
55,79,4,defined
