Tabelle: 12251-0106
Erwerbstätige aus Hauptwohnsitzhaushalten: Bundesländer,;;;;;;;;;;;
Jahre, Geschlecht, Stellung im Beruf, Entfernung zur;;;;;;;;;;;
Arbeitsstätte;;;;;;;;;;;
Arbeitsmarktstatistik des Mikrozensus;;;;;;;;;;;;;;;;;;;
Erwerbstätige aus Hauptwohnsitzhaushalten (1000);;;;;;;;;;;;;;;;;;;
;;;;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte;Entfernung zur Arbeitsstätte
;;;;Unter 5 km;Unter 5 km;5 bis unter 10 km;5 bis unter 10 km;10 bis unter 25 km;10 bis unter 25 km;25 bis unter 50 km;25 bis unter 50 km;50 km und mehr;50 km und mehr;Gleiches Grundstück;Gleiches Grundstück;Ständig wechselnde Arbeitsstätte;Ständig wechselnde Arbeitsstätte;Insgesamt;Insgesamt
2024;Hessen;Insgesamt;Beamte;28;();27;();43;e;35;e;/;;/;;/;;152;e
2024;Hessen;Insgesamt;Arbeiter und Angestellte;602;e;495;e;756;e;410;e;136;e;/;;23;();2648;e
2024;Hessen;Insgesamt;Auszubildende;27;();22;();37;e;/;;/;;/;;/;;112;e
2024;Hessen;Insgesamt;Insgesamt;744;e;568;e;871;e;477;e;156;e;31;e;38;e;3200;e
2024;Mecklenburg-Vorpommern;männlich;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;/;;/;;/;
2024;Mecklenburg-Vorpommern;männlich;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;/;;/;;21;()
2024;Mecklenburg-Vorpommern;männlich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;
2024;Mecklenburg-Vorpommern;männlich;Beamte;/;;/;;/;;/;;/;;/;;/;;23;()
2024;Mecklenburg-Vorpommern;männlich;Arbeiter und Angestellte;86;e;49;e;70;e;43;e;29;();/;;/;;308;e
2024;Mecklenburg-Vorpommern;männlich;Auszubildende;/;;/;;/;;/;;/;;/;;/;;/;
2024;Mecklenburg-Vorpommern;männlich;Insgesamt;105;e;57;e;82;e;51;e;38;e;/;;/;;383;e
2024;Mecklenburg-Vorpommern;weiblich;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;/;;/;;/;
2024;Mecklenburg-Vorpommern;weiblich;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;/;;/;;/;
2024;Mecklenburg-Vorpommern;weiblich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;
2024;Mecklenburg-Vorpommern;weiblich;Beamte;/;;/;;/;;/;;/;;/;;/;;/;
2024;Mecklenburg-Vorpommern;weiblich;Arbeiter und Angestellte;104;e;57;e;78;e;37;e;/;;/;;/;;307;e
2024;Mecklenburg-Vorpommern;weiblich;Auszubildende;/;;/;;/;;/;;/;;/;;/;;/;
2024;Mecklenburg-Vorpommern;weiblich;Insgesamt;114;e;66;e;87;e;44;e;/;;/;;/;;352;e
2024;Mecklenburg-Vorpommern;Insgesamt;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;/;;/;;20;()
2024;Mecklenburg-Vorpommern;Insgesamt;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;/;;/;;29;()
2024;Mecklenburg-Vorpommern;Insgesamt;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;
2024;Mecklenburg-Vorpommern;Insgesamt;Beamte;/;;/;;/;;/;;/;;/;;/;;40;e
2024;Mecklenburg-Vorpommern;Insgesamt;Arbeiter und Angestellte;190;e;106;e;148;e;80;e;40;e;/;;/;;616;e
2024;Mecklenburg-Vorpommern;Insgesamt;Auszubildende;/;;/;;/;;/;;/;;/;;/;;29;()
2024;Mecklenburg-Vorpommern;Insgesamt;Insgesamt;219;e;123;e;169;e;96;e;50;e;/;;/;;735;e
2024;Niedersachsen;männlich;Selbstständige ohne Beschäftigte;22;();/;;/;;/;;/;;/;;/;;84;e
2024;Niedersachsen;männlich;Selbstständige mit Beschäftigten;49;e;/;;/;;/;;/;;/;;/;;130;e
2024;Niedersachsen;männlich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;
2024;Niedersachsen;männlich;Beamte;22;();/;;30;();25;();/;;/;;/;;115;e
2024;Niedersachsen;männlich;Arbeiter und Angestellte;372;e;308;e;471;e;303;e;108;e;/;;23;();1732;e
2024;Niedersachsen;männlich;Auszubildende;24;();/;;26;();/;;/;;/;;/;;92;e
2024;Niedersachsen;männlich;Insgesamt;492;e;361;e;548;e;353;e;136;e;/;;35;e;2161;e
2024;Niedersachsen;weiblich;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;/;;/;;59;e
2024;Niedersachsen;weiblich;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;/;;/;;42;e
2024;Niedersachsen;weiblich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;
2024;Niedersachsen;weiblich;Beamte;30;();/;;34;e;/;;/;;/;;/;;112;e
2024;Niedersachsen;weiblich;Arbeiter und Angestellte;498;e;326;e;413;e;194;e;50;e;/;;/;;1607;e
2024;Niedersachsen;weiblich;Auszubildende;/;;/;;/;;/;;/;;/;;/;;72;e
2024;Niedersachsen;weiblich;Insgesamt;585;e;370;e;474;e;230;e;63;e;/;;/;;1901;e
2024;Niedersachsen;Insgesamt;Selbstständige ohne Beschäftigte;39;e;/;;/;;/;;/;;/;;/;;143;e
2024;Niedersachsen;Insgesamt;Selbstständige mit Beschäftigten;66;e;22;();20;();/;;/;;/;;/;;172;e
2024;Niedersachsen;Insgesamt;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;
2024;Niedersachsen;Insgesamt;Beamte;52;e;30;();64;e;45;e;25;();/;;/;;227;e
2024;Niedersachsen;Insgesamt;Arbeiter und Angestellte;870;e;634;e;884;e;497;e;158;e;/;;31;();3339;e
2024;Niedersachsen;Insgesamt;Auszubildende;42;e;36;e;44;e;23;();/;;/;;/;;164;e
2024;Niedersachsen;Insgesamt;Insgesamt;1077;e;732;e;1022;e;583;e;199;e;35;e;46;e;4062;e
2024;Nordrhein-Westfalen;männlich;Selbstständige ohne Beschäftigte;47;e;/;;/;;/;;/;;/;;/;;198;e
2024;Nordrhein-Westfalen;männlich;Selbstständige mit Beschäftigten;105;e;53;e;41;e;/;;/;;/;;/;;291;e
2024;Nordrhein-Westfalen;männlich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;
2024;Nordrhein-Westfalen;männlich;Beamte;27;();36;e;54;e;43;e;32;();/;;/;;205;e
2024;Nordrhein-Westfalen;männlich;Arbeiter und Angestellte;759;e;782;e;1066;e;611;e;245;e;/;;58;e;3882;e
2024;Nordrhein-Westfalen;männlich;Auszubildende;41;e;50;e;53;e;/;;/;;/;;/;;181;e
2024;Nordrhein-Westfalen;männlich;Insgesamt;981;e;941;e;1227;e;700;e;292;e;43;e;88;e;4767;e
2024;Nordrhein-Westfalen;weiblich;Selbstständige ohne Beschäftigte;31;();/;;/;;/;;/;;/;;/;;141;e
2024;Nordrhein-Westfalen;weiblich;Selbstständige mit Beschäftigten;30;();/;;/;;/;;/;;/;;/;;95;e
2024;Nordrhein-Westfalen;weiblich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;/;
2024;Nordrhein-Westfalen;weiblich;Beamte;42;e;54;e;76;e;39;e;/;;/;;/;;231;e
2024;Nordrhein-Westfalen;weiblich;Arbeiter und Angestellte;1015;e;871;e;897;e;383;e;98;e;/;;/;;3547;e
2024;Nordrhein-Westfalen;weiblich;Auszubildende;38;();41;e;43;e;24;();/;;/;;/;;165;e
2024;Nordrhein-Westfalen;weiblich;Insgesamt;1160;e;1003;e;1049;e;460;e;120;e;34;();27;();4197;e
2024;Nordrhein-Westfalen;Insgesamt;Selbstständige ohne Beschäftigte;78;e;35;();26;();/;;/;;29;();28;();339;e
2024;Nordrhein-Westfalen;Insgesamt;Selbstständige mit Beschäftigten;135;e;73;e;59;e;23;();/;;/;;/;;386;e
2024;Nordrhein-Westfalen;Insgesamt;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;;/;;28;()
