# Per-source-Kreis one-seat-to-ZGB PT entry stops (rail+bus), EPSG:25832. Generated by scripts/extract_incommuter_pt_entry_stops.py from the cordon transit schedule.
source_ars5,stop_id,x,y
03241,309656.link:639545,568152.9086985816,5796754.428336494
03241,314918.link:752504,568708.0497508657,5796603.378911907
03241,317855.link:350548,575896.4492306315,5800311.763837024
03241,318899.link:279274,565042.2487310786,5797235.293693007
03241,343397.link:465004,566487.1485776703,5796616.230156884
03241,34582.link:322758,560206.8446371554,5800566.144368099
03241,348063.link:488887,551300.0594434233,5800679.296261846
03241,348063.link:488888,551300.0594434233,5800679.296261846
03241,359491.link:437130,565966.1582102269,5796554.171904134
03241,360648.link:713708,556349.2066791125,5800957.704921649
03241,371714.link:302159,558856.1878085636,5801296.3757780455
03241,374546.link:198260,554224.8772927036,5800784.919628828
03241,378581.link:693521,555024.3589897547,5800806.240662185
03241,395079.link:911147,530667.5467395557,5808096.737969804
03241,395079.link:911148,530667.5467395557,5808096.737969804
03241,397053.link:327705,550494.2011750701,5801338.073251221
03241,398480.link:242717,565281.9704931005,5796886.593616214
03241,409133.link:274465,558480.4320239662,5801256.526552176
03241,412015.link:710574,550846.685393696,5800673.707673723
03241,41372.link:661961,562069.492572869,5799359.89977759
03241,429239.link:317937,557487.7068258004,5801494.025458115
03241,433473.link:354387,556462.1490324453,5801509.308472238
03241,448734.link:610562,559470.976436724,5801004.960525161
03241,458427.link:701706,556808.7105193826,5801540.657777026
03241,466850.link:458789,575859.3452617689,5800770.323515736
03241,477343.link:915797,551426.6224814169,5800685.0649524415
03241,492186.link:740668,569785.7989038113,5796786.93015866
03241,49453.link:458790,575862.6155656055,5800757.023790767
03241,500401.link:664583,561226.9077652409,5800271.569199652
03241,505730.link:661958,562168.5482011738,5799171.922789914
03241,506699.link:779681,551900.8502048375,5800974.142088891
03241,50861.link:610561,559469.5975622295,5801017.625532289
