Tabelle: 12251-0104
Erwerbstätige aus Hauptwohnsitzhaushalten: Bundesländer, Jahre, Geschlecht, Stellung im Beruf, Zeitaufwand für den Hinweg zur Arbeitsstätte;;;;;;;;;
Arbeitsmarktstatistik des Mikrozensus;;;;;;;;;;;;;;;
Erwerbstätige aus Hauptwohnsitzhaushalten (1000);;;;;;;;;;;;;;;
;;;;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte;Zeitaufwand für den Hinweg zur Arbeitsstätte
;;;;Unter 10 Minuten;Unter 10 Minuten;10 bis unter 30 Minuten;10 bis unter 30 Minuten;30 bis unter 60 Minuten;30 bis unter 60 Minuten;60 Minuten und mehr;60 Minuten und mehr;Ständig wechselnde Arbeitsstätte;Ständig wechselnde Arbeitsstätte;Insgesamt;Insgesamt
2024;Mecklenburg-Vorpommern;Insgesamt;Insgesamt;167;e;319;e;129;e;40;e;/;;735;e
2024;Niedersachsen;männlich;Selbstständige ohne Beschäftigte;21;();/;;/;;/;;/;;84;e
2024;Niedersachsen;männlich;Selbstständige mit Beschäftigten;49;e;31;();/;;/;;/;;130;e
2024;Niedersachsen;männlich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;
2024;Niedersachsen;männlich;Beamte;/;;46;e;32;();/;;/;;115;e
2024;Niedersachsen;männlich;Arbeiter und Angestellte;301;e;785;e;378;e;84;e;23;();1732;e
2024;Niedersachsen;männlich;Auszubildende;/;;43;e;/;;/;;/;;92;e
2024;Niedersachsen;männlich;Insgesamt;407;e;917;e;444;e;106;e;35;e;2161;e
2024;Niedersachsen;weiblich;Selbstständige ohne Beschäftigte;/;;/;;/;;/;;/;;59;e
2024;Niedersachsen;weiblich;Selbstständige mit Beschäftigten;/;;/;;/;;/;;/;;42;e
2024;Niedersachsen;weiblich;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;
2024;Niedersachsen;weiblich;Beamte;/;;62;e;23;();/;;/;;112;e
2024;Niedersachsen;weiblich;Arbeiter und Angestellte;365;e;794;e;251;e;50;e;/;;1607;e
2024;Niedersachsen;weiblich;Auszubildende;/;;33;();/;;/;;/;;72;e
2024;Niedersachsen;weiblich;Insgesamt;429;e;912;e;298;e;60;e;/;;1901;e
2024;Niedersachsen;Insgesamt;Selbstständige ohne Beschäftigte;37;e;/;;/;;/;;/;;143;e
2024;Niedersachsen;Insgesamt;Selbstständige mit Beschäftigten;62;e;45;e;/;;/;;/;;172;e
2024;Niedersachsen;Insgesamt;Mithelfende Familienangehörige;/;;/;;/;;/;;/;;/;
2024;Niedersachsen;Insgesamt;Beamte;34;();108;e;56;e;/;;/;;227;e
2024;Niedersachsen;Insgesamt;Arbeiter und Angestellte;666;e;1579;e;628;e;134;e;31;();3339;e
2024;Niedersachsen;Insgesamt;Auszubildende;31;();76;e;35;e;/;;/;;164;e
