cell_id,stichtag,ev_share,minx,miny,maxx,maxy,suppressed
5kmN3230E4345,2026-04-01,0.055999999999999994,1152252.4263999984,6832553.435900003,1160436.8040999994,6840758.448299997,False
5kmN3230E4350,2026-04-01,0.046,1160389.2540000007,6832501.870800003,1168581.7410999984,6840714.973499998,False
5kmN3230E4355,2026-04-01,0.071,1168525.9935000017,6832442.1215,1176726.5746,6840663.296499997,False
5kmN3230E4360,2026-04-01,0.069,1176662.6297999993,6832374.1884,1184871.2892000005,6840603.4177,False
5kmN3230E4365,2026-04-01,0.077,1184799.1477999985,6832298.071999997,1193015.8698000014,6840535.337300003,False
5kmN3230E4370,2026-04-01,0.05,1192935.5322999991,6832213.772699997,1201160.3011999987,6840459.0559,False
5kmN3230E4375,2026-04-01,0.033,1201071.768100001,6832121.291000001,1209304.5681000017,6840374.573799998,False
5kmN3230E4380,2026-04-01,0.045,1209207.8399999999,6832020.627400003,1217448.6552999988,6840281.891599998,False
5kmN3230E4385,2026-04-01,0.044000000000000004,1217343.732900001,6831911.782700002,1225592.547600001,6840181.009800002,False
5kmN3230E4390,2026-04-01,0.057999999999999996,1225479.4316999987,6831794.757399999,1233736.2298000008,6840071.929099999,False
5kmN3230E4395,2026-04-01,0.028999999999999998,1233614.9211000018,6831669.552299999,1241879.6867000014,6839954.650200002,False
5kmN3230E4400,2026-04-01,0.015,1241750.1860999987,6831536.167999998,1250022.9030000009,6839829.173600003,False
5kmN3230E4405,2026-04-01,0.035,1249885.2113999985,6831394.605499998,1258165.8636000007,6839695.500200003,False
5kmN3230E4410,2026-04-01,0.03,1258019.981899999,6831244.865500003,1266308.5533000007,6839553.630800001,False
5kmN3230E4415,2026-04-01,0.032,1266154.4825999998,6831086.949000001,1274450.9567999989,6839403.566299997,False
5kmN3230E4420,2026-04-01,0.04,1274288.6981999986,6830920.857000001,1282593.0590000004,6839245.307599999,False
5kmN3230E4425,2026-04-01,0.064,1282422.613499999,6830746.590400003,1290734.8447000012,6839078.855599999,False
5kmN3230E4430,2026-04-01,0.04,1290556.2135999985,6830564.150200002,1298876.298700001,6838904.211300001,False
5kmN3235E4320,2026-04-01,0.057,1111564.2162000015,6840850.321099997,1119717.673700001,6849022.832199998,False
5kmN3235E4325,2026-04-01,0.063,1119711.0986000001,6840839.657200001,1127871.118999999,6849020.365999997,False
5kmN3235E4330,2026-04-01,0.046,1127856.3249999993,6840820.790299997,1136024.5368000008,6849009.678900003,False
5kmN3235E4335,2026-04-01,0.055999999999999994,1136001.5240000002,6840793.720700003,1144177.9118000008,6848990.7711,False
5kmN3235E4340,2026-04-01,0.086,1144146.680300001,6840758.448299997,1152331.2287000008,6848963.6426,False
5kmN3235E4345,2026-04-01,0.062,1152291.7787999995,6840714.973499998,1160484.4721999988,6848928.2936,False
5kmN3235E4350,2026-04-01,0.04,1160436.8040999994,6840663.296499997,1168637.6270000003,6848884.724399999,False
5kmN3235E4355,2026-04-01,0.07,1168581.7410999984,6840603.4177,1176790.6779000014,6848832.9353,False
5kmN3235E4360,2026-04-01,0.083,1176726.5746,6840535.337300003,1184943.6094999984,6848772.926399998,False
5kmN3235E4365,2026-04-01,0.075,1184871.2892000005,6840459.0559,1193096.4065999985,6848704.698200002,False
5kmN3235E4370,2026-04-01,0.055999999999999994,1193015.8698000014,6840374.573799998,1201249.0538000017,6848628.251100004,False
5kmN3235E4375,2026-04-01,0.051,1201160.3011999987,6840281.891599998,1209401.5359999985,6848543.585600004,False
5kmN3235E4380,2026-04-01,0.047,1209304.5681000017,6840181.009800002,1217553.8377999999,6848450.702100001,False
5kmN3235E4385,2026-04-01,0.047,1217448.6552999988,6840071.929099999,1225705.9439999983,6848349.601300001,False
5kmN3235E4390,2026-04-01,0.109,1225592.547600001,6839954.650200002,1233857.8392999992,6848240.283799998,False
5kmN3235E4395,2026-04-01,0.012,1233736.2298000008,6839829.173600003,1242009.5084000006,6848122.750200003,False
5kmN3235E4400,2026-04-01,0.024,1241879.6867000014,6839695.500200003,1250160.9360000007,6847997.001199998,False
5kmN3235E4405,2026-04-01,0.023,1250022.9030000009,6839553.630800001,1258312.1070000008,6847863.037699997,False
5kmN3235E4410,2026-04-01,0.025,1258165.8636000007,6839403.566299997,1266463.0058999993,6847720.860299997,False
5kmN3235E4415,2026-04-01,0.033,1266308.5533000007,6839245.307599999,1274613.6176999994,6847570.4701000005,False
5kmN3235E4420,2026-04-01,0.042,1274450.9567999989,6839078.855599999,1282763.927000001,6847411.867799997,False
5kmN3235E4425,2026-04-01,0.051,1282593.0590000004,6838904.211300001,1290913.9186000004,6847245.054499999,False
5kmN3235E4430,2026-04-01,0.038,1290734.8447000012,6838721.375799999,1299063.5771999992,6847070.031199999,False
