# MiD 2023 oekonomischer Status x Haushaltstyp x Region.
# Generated by scripts/extract_mid_status_by_hhtype.py from
# mid2023_status_by_hhtype_raumtyp.xlsx (sheet 'MiD Tabellen').
# share_pct = P(hhtype | status, region) in percent; base_weighted =
# weighted base (persons) of the (status, region) cell.
region,hhtype,status,share_pct,base_weighted
laendlich_mittelstadt,couple_youngest_30_59,medium,7.0,19349.0
laendlich_kleinstaedtisch,couple_youngest_30_59,medium,7.0,20325.0
stadtregion_metropole,couple_youngest_60_plus,medium,16.0,18933.0
stadtregion_regiopole_grossstadt,couple_youngest_60_plus,medium,19.0,16927.0
stadtregion_mittelstadt,couple_youngest_60_plus,medium,21.0,30400.0
stadtregion_kleinstaedtisch,couple_youngest_60_plus,medium,20.0,7556.0
laendlich_zentrale_stadt,couple_youngest_60_plus,medium,20.0,7960.0
laendlich_mittelstadt,couple_youngest_60_plus,medium,21.0,19349.0
laendlich_kleinstaedtisch,couple_youngest_60_plus,medium,20.0,20325.0
stadtregion_metropole,three_plus_adults,medium,6.0,18933.0
stadtregion_regiopole_grossstadt,three_plus_adults,medium,5.0,16927.0
stadtregion_mittelstadt,three_plus_adults,medium,7.0,30400.0
stadtregion_kleinstaedtisch,three_plus_adults,medium,8.0,7556.0
laendlich_zentrale_stadt,three_plus_adults,medium,7.0,7960.0
laendlich_mittelstadt,three_plus_adults,medium,7.0,19349.0
laendlich_kleinstaedtisch,three_plus_adults,medium,9.0,20325.0
stadtregion_metropole,child_under_6,medium,12.0,18933.0
stadtregion_regiopole_grossstadt,child_under_6,medium,15.0,16927.0
stadtregion_mittelstadt,child_under_6,medium,14.0,30400.0
stadtregion_kleinstaedtisch,child_under_6,medium,17.0,7556.0
laendlich_zentrale_stadt,child_under_6,medium,16.0,7960.0
laendlich_mittelstadt,child_under_6,medium,17.0,19349.0
laendlich_kleinstaedtisch,child_under_6,medium,17.0,20325.0
stadtregion_metropole,child_under_14,medium,9.0,18933.0
stadtregion_regiopole_grossstadt,child_under_14,medium,10.0,16927.0
stadtregion_mittelstadt,child_under_14,medium,13.0,30400.0
stadtregion_kleinstaedtisch,child_under_14,medium,15.0,7556.0
laendlich_zentrale_stadt,child_under_14,medium,10.0,7960.0
laendlich_mittelstadt,child_under_14,medium,13.0,19349.0
laendlich_kleinstaedtisch,child_under_14,medium,14.0,20325.0
stadtregion_metropole,child_under_18,medium,4.0,18933.0
stadtregion_regiopole_grossstadt,child_under_18,medium,4.0,16927.0
stadtregion_mittelstadt,child_under_18,medium,6.0,30400.0
stadtregion_kleinstaedtisch,child_under_18,medium,4.0,7556.0
laendlich_zentrale_stadt,child_under_18,medium,6.0,7960.0
laendlich_mittelstadt,child_under_18,medium,4.0,19349.0
laendlich_kleinstaedtisch,child_under_18,medium,6.0,20325.0
stadtregion_metropole,single_parent,medium,5.0,18933.0
stadtregion_regiopole_grossstadt,single_parent,medium,3.0,16927.0
stadtregion_mittelstadt,single_parent,medium,3.0,30400.0
stadtregion_kleinstaedtisch,single_parent,medium,5.0,7556.0
laendlich_zentrale_stadt,single_parent,medium,3.0,7960.0
laendlich_mittelstadt,single_parent,medium,3.0,19349.0
laendlich_kleinstaedtisch,single_parent,medium,3.0,20325.0
stadtregion_metropole,not_classifiable,medium,0.0,18933.0
stadtregion_regiopole_grossstadt,not_classifiable,medium,1.0,16927.0
stadtregion_mittelstadt,not_classifiable,medium,0.0,30400.0
stadtregion_kleinstaedtisch,not_classifiable,medium,0.0,7556.0
laendlich_zentrale_stadt,not_classifiable,medium,1.0,7960.0
laendlich_mittelstadt,not_classifiable,medium,1.0,19349.0
laendlich_kleinstaedtisch,not_classifiable,medium,0.0,20325.0
stadtregion_metropole,single_18_29,high,3.0,26587.0
stadtregion_regiopole_grossstadt,single_18_29,high,3.0,21352.0
stadtregion_mittelstadt,single_18_29,high,1.0,42725.0
stadtregion_kleinstaedtisch,single_18_29,high,1.0,10617.0
laendlich_zentrale_stadt,single_18_29,high,1.0,8719.0
laendlich_mittelstadt,single_18_29,high,1.0,22176.0
laendlich_kleinstaedtisch,single_18_29,high,1.0,25765.0
stadtregion_metropole,single_30_59,high,11.0,26587.0
stadtregion_regiopole_grossstadt,single_30_59,high,8.0,21352.0
