school_id,name,level,capacity,ags8,kreis5,x,y,geocode_quality,dist_to_osm_edu_m,validated
abs_38404,Grundschule Mascheroder Holz,grundschule,202.0,03101000,03101,606457.7808828923,5787886.897131892,address,15.88781023244432,True
abs_38416,Grund- u. Hauptschule Pestalozzistraße,grundschule,152.0,03101000,03101,603457.297028543,5792529.616450623,address,2.3262713319854447,True
abs_38416,Grund- u. Hauptschule Pestalozzistraße,sekundar_1,236.0,03101000,03101,603457.297028543,5792529.616450623,address,2.3262713319854447,True
abs_38428,Grundschule Melverode,grundschule,107.0,03101000,03101,604110.6708405404,5787802.170891372,address,160.35138616407517,True
abs_38441,Grundschule Rautheim,grundschule,230.0,03101000,03101,607934.7874909755,5789225.619772284,address,13.263644372956607,True
abs_38453,Grundschule Stöckheim,grundschule,363.0,03101000,03101,603714.9244340964,5785660.911732288,address,32.81401862222102,True
abs_38465,Hauptschule Sophienstraße,sekundar_1,241.0,03101000,03101,602863.4760597667,5790805.808267905,address,0.11645582325459629,True
abs_38507,Grundschule Veltenhof,grundschule,101.0,03101000,03101,602520.0741997467,5795738.350596364,address,719.6646708163387,True
abs_38520,Grundschule Waggum,grundschule,301.0,03101000,03101,605016.8503214836,5798115.670302513,address,8.297727518544267,True
abs_38568,Schule Am Gutspark,grundschule,142.0,03102000,03102,598701.2324979741,5771674.328784117,address,23.4284008163228,True
abs_38568,Schule Am Gutspark,sekundar_1,62.0,03102000,03102,598701.2324979741,5771674.328784117,address,23.4284008163228,True
abs_38593,Grundschule am Sonnenberg,grundschule,345.0,03102000,03102,592375.0792575367,5773928.4024329735,address,151.8128736176251,True
abs_38611,Grundschule Hallendorf,grundschule,155.0,03102000,03102,593890.215888905,5779135.791077304,address,2384.7012651636956,False
abs_38659,Grundschule St. Michael,grundschule,202.0,03102000,03102,590514.2305110471,5779659.653715749,address,4.7102756711639575,True
abs_38714,Grundschule Lautenthal,grundschule,113.0,03153019,03153,590874.0375457866,5751555.159582571,address,0.11641129988475162,True
abs_38738,Grundschule Othfresen,grundschule,147.0,03153008,03153,595206.8968070506,5763063.401051,address,7.934948959365139,True
abs_38817,Grundschule Sudmerberg,grundschule,139.0,03153017,03153,600393.0690221763,5752723.199474902,address,33.39751391667795,True
abs_38854,Grundschule Harztorwall,grundschule,248.0,03158037,03158,605286.8449691549,5779932.106641119,address,13.519459237103765,True
abs_38878,Wilhelm-Busch-Grundschule,grundschule,394.0,03158037,03158,606740.252237172,5779652.4812771045,address,35.63508406689472,True
abs_38908,Wilhelm-Raabe-Schule,grundschule,356.0,03158037,03158,603392.1689475625,5779887.400665661,address,97.57287853452755,True
abs_38921,Offene Ganztagsgrundschule Destedt,grundschule,210.0,03158006,03158,616456.9925067807,5788746.391741956,address,15.533637144458396,True
abs_38933,Grundschule Drachenstark,grundschule,343.0,03157001,03157,586063.3073375283,5805165.103116636,address,0.8354440510848599,True
abs_38957,Grundschule Hohenhameln/Clauen,grundschule,340.0,03157002,03157,573061.0360718899,5790719.254133581,address,1027.3471319663474,False
abs_39019,Grundschule Löwenburg Ilsede,grundschule,270.0,03157009,03157,582340.2086548656,5790942.129463327,address,14.037733832753311,True
abs_39032,Grundschule Oberg,grundschule,138.0,03157009,03157,585258.5151808104,5790587.042489382,address,1545.1516725634754,False
abs_39056,Verlässliche Grundschule,grundschule,289.0,03157009,03157,582941.8281053822,5789072.705188515,address,14.990790663076213,True
abs_39093,Grundschule Broistedt,grundschule,224.0,03157005,03157,590662.6714706705,5782742.751993312,address,383.5052969494611,True
abs_39111,Grundschule Woltwiesche,grundschule,235.0,03157005,03157,587742.2298047049,5784698.464670498,address,16.77997465459873,True
abs_39135,Grundschule Dungelbeck,grundschule,98.0,03157006,03157,586354.9909538841,5794390.374233004,address,49.69400783839847,True
abs_39147,VGHS Burgschule Peine,grundschule,120.0,03157006,03157,583283.9277232507,5797903.696022072,address,11.289301845603388,True
abs_39147,VGHS Burgschule Peine,sekundar_1,264.0,03157006,03157,583283.9277232507,5797903.696022072,address,11.289301845603388,True
abs_39160,Eichendorffschule,grundschule,362.0,03157006,03157,584977.5433679098,5798514.214479521,address,133.07886083473096,True
abs_39172,Fröbelschule,grundschule,206.0,03157006,03157,582062.8387199483,5798343.030315,address,73.36052478741502,True
abs_39214,Grundschule Rosenthal-Schwicheldt,grundschule,197.0,03157006,03157,579415.4988969283,5795335.152481765,address,118.9413188197716,True
abs_39226,Grundschule Stederdorf,grundschule,228.0,03157006,03157,584918.2046403002,5800465.038852899,address,7.329089327387892,True
abs_39238,Albert-Schweitzer-Schule,grundschule,537.0,03157007,03157,593259.0514140588,5790732.933019233,address,28.905154434334825,True
